 Timestamp (Formatted), EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Other.7
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-172718.3891,-183843.2993,-178506.418,-187500.0224,-187500.0224,0.346,-0.068,0.926,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-172988.5769,-184417.0239,-179008.4158,-187500.0224,-187500.0224,0.346,-0.068,0.926,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-173766.6859,-185697.7565,-180438.0781,-187500.0224,-187500.0224,0.346,-0.068,0.926,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-173942.4823,-185852.8329,-180749.4826,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,10,176,253,208,28,144,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-173303.0436,-184714.1233,-179569.1987,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-172719.5514,-183843.5675,-178511.3577,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-172975.3671,-184394.3369,-178987.4275,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-173756.1359,-185681.1268,-180420.7555,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-173947.2209,-185861.1254,-180758.7139,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-173318.6005,-184739.0902,-179599.1948,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
 2023-06-27 18:19:54.636,-187500.0224,-187500.0224,-187500.0224,-172730.9284,-183856.9562,-178530.7814,-187500.0224,-187500.0224,0.342,-0.07,0.914,192,0,0,0,0,0,0,0,0,0,0
